ticker,fiscal_quarter,earnings_date,earnings_time,timing_confidence,available_date,source
COST,2023Q2,2023-03-09,,sec_filing_date_proxy,2023-03-09,sec_filing_event_proxy
COST,2023Q3,2023-06-01,,sec_filing_date_proxy,2023-06-01,sec_filing_event_proxy
COST,2024Q1,2023-12-20,,sec_filing_date_proxy,2023-12-20,sec_filing_event_proxy
COST,2024Q2,2024-03-13,,sec_filing_date_proxy,2024-03-13,sec_filing_event_proxy
COST,2024Q3,2024-06-06,,sec_filing_date_proxy,2024-06-06,sec_filing_event_proxy
COST,2025Q1,2024-12-19,,sec_filing_date_proxy,2024-12-19,sec_filing_event_proxy
COST,2025Q2,2025-03-13,,sec_filing_date_proxy,2025-03-13,sec_filing_event_proxy
COST,2025Q3,2025-06-05,,sec_filing_date_proxy,2025-06-05,sec_filing_event_proxy
COST,2026Q1,2025-12-17,,sec_filing_date_proxy,2025-12-17,sec_filing_event_proxy
COST,2026Q2,2026-03-11,,sec_filing_date_proxy,2026-03-11,sec_filing_event_proxy
COST,2026Q3,2026-06-03,,sec_filing_date_proxy,2026-06-03,sec_filing_event_proxy
